X,Y,ELEV,ELEVATION
645020.060,4474453.030,1445.390015,1445.39
645020.440,4474453.000,1445.400024,1445.4
645020.810,4474452.970,1445.329956,1445.33
645021.120,4474452.940,1445.329956,1445.33
645021.500,4474452.910,1445.280029,1445.28
645021.880,4474452.900,1445.219971,1445.22
645022.250,4474452.900,1445.219971,1445.22
645022.620,4474452.890,1445.229980,1445.23
645023.000,4474452.880,1445.229980,1445.23
645023.370,4474452.880,1445.189941,1445.19
645023.750,4474452.890,1445.219971,1445.22
645024.130,4474452.910,1445.219971,1445.22
645024.500,4474452.920,1445.219971,1445.22
645024.870,4474452.940,1445.209961,1445.21
645025.250,4474452.930,1445.189941,1445.19
645025.620,4474452.940,1445.160034,1445.16
645026.000,4474452.950,1445.170044,1445.17
645026.380,4474452.960,1445.140015,1445.14
645026.750,4474452.960,1445.109985,1445.11
645027.120,4474452.960,1445.040039,1445.04
645027.500,4474452.970,1445.020020,1445.02
645027.870,4474452.980,1445.010010,1445.01
645028.250,4474452.980,1445.030029,1445.03
645028.630,4474453.000,1444.989990,1444.99
645029.060,4474453.000,1444.959961,1444.96
645029.500,4474453.000,1445.130005,1445.13
645029.940,4474453.010,1445.130005,1445.13
645030.310,4474453.020,1445.099976,1445.1
645030.750,4474453.060,1445.010010,1445.01
645031.190,4474453.090,1444.920044,1444.92
645031.560,4474453.130,1444.849976,1444.85
645031.940,4474453.170,1444.880005,1444.88
645032.310,4474453.210,1444.959961,1444.96
645032.690,4474453.260,1444.989990,1444.99
645033.060,4474453.310,1445.000000,1445
645033.440,4474453.340,1445.000000,1445
645033.810,4474453.370,1444.969971,1444.97
645034.250,4474453.440,1444.979980,1444.98
645034.620,4474453.510,1444.959961,1444.96
645035.060,4474453.590,1445.140015,1445.14
645035.440,4474453.670,1445.170044,1445.17
645035.880,4474453.750,1445.140015,1445.14
645036.310,4474453.840,1445.069946,1445.07
645036.750,4474453.940,1445.040039,1445.04
645037.190,4474454.060,1445.119995,1445.12
645037.620,4474454.170,1445.250000,1445.25
645038.130,4474454.260,1445.229980,1445.23
645038.560,4474454.350,1445.280029,1445.28
645039.000,4474454.440,1445.400024,1445.4
645039.440,4474454.540,1445.430054,1445.43
645039.940,4474454.630,1445.400024,1445.4
645040.370,4474454.720,1445.410034,1445.41
645040.870,4474454.810,1445.349976,1445.35
645041.370,4474454.900,1445.319946,1445.32
645041.870,4474454.990,1445.319946,1445.32
645042.310,4474455.060,1445.280029,1445.28
645042.810,4474455.120,1445.239990,1445.24
645043.310,4474455.180,1445.250000,1445.25
645043.810,4474455.240,1445.219971,1445.22
645044.310,4474455.340,1445.199951,1445.2
645044.810,4474455.440,1445.270020,1445.27
645045.310,4474455.540,1445.239990,1445.24
645045.810,4474455.640,1445.140015,1445.14
645046.310,4474455.740,1444.930054,1444.93
645046.810,4474455.860,1444.839966,1444.84
645047.380,4474455.990,1444.939941,1444.94
645047.870,4474456.110,1445.130005,1445.13
645048.380,4474456.230,1445.109985,1445.11
645048.250,4474484.960,1445.209961,1445.21
645047.560,4474484.730,1445.300049,1445.3
645046.880,4474484.520,1445.329956,1445.33
645046.250,4474484.300,1445.500000,1445.5
